NAME,B01003_001E,B25064_001E,B25077_001E,B07003_001E,B07003_004E,B07003_008E,B07003_010E,B11016_001E,B25003_002E,B25003_003E,zip,moved_different_house_pct,median_rent_usd,population,zillow_home_value_index,zillow_rent_index
ZCTA5 33101,0,-666666666,-666666666,0,0,0,0,0,0,0,33101,,-666666666,0,,
ZCTA5 33109,792,-666666666,2000001,792,630,97,0,328,307,21,33109,0.20454545454545456,-666666666,792,6413595.656803385,
ZCTA5 33122,1873,2370,1335900,1824,962,241,8,816,76,740,33122,0.4725877192982456,2370,1873,1505538.246902889,2740.6111111111118
ZCTA5 33125,54873,1238,339300,54290,49530,2057,171,21227,5080,16147,33125,0.08767728863510775,1238,54873,459772.08683978976,2313.579166666667
ZCTA5 33126,46798,1546,287100,46403,41635,1763,240,18073,7104,10969,33126,0.10275197724285068,1546,46798,301782.8818148346,2380.2410256410258
ZCTA5 33127,28306,1283,346000,27993,24314,1533,300,9661,2819,6842,33127,0.13142571357124996,1283,28306,521335.8794192681,2998.258333333333
ZCTA5 33128,8989,1191,292400,8937,7310,753,60,3907,123,3784,33128,0.18205214277721832,1191,8989,440768.4766146476,2809.2811965811966
ZCTA5 33129,15184,2153,526800,14954,12414,912,76,7267,3393,3874,33129,0.16985421960679417,2153,15184,687646.0024834754,3644.846978557505
ZCTA5 33130,32946,1553,436000,32573,25611,2841,620,16915,2120,14795,33130,0.21373530224418996,1553,32946,507206.06561679527,3150.938320381092
ZCTA5 33131,22540,2649,599100,22256,15720,1931,418,12552,4132,8420,33131,0.29367361610352266,2649,22540,588739.6873255532,3793.4822029822026
ZCTA5 33132,17136,2373,535900,16658,10852,1936,1075,8969,2226,6743,33132,0.3485412414455517,2373,17136,529723.155938494,3286.435059422751
ZCTA5 33133,34500,1824,825100,33980,27337,2355,361,14479,7487,6992,33133,0.19549735138316657,1824,34500,1302043.4387278543,3579.6375313635167
ZCTA5 33134,37958,1719,637300,37639,32495,2066,175,16251,8937,7314,33134,0.13666675522729085,1719,37958,878612.0950932098,2919.2217948717957
ZCTA5 33135,34742,1221,367100,34353,30834,1311,153,14513,3050,11463,33135,0.10243646843070474,1221,34742,524384.9916386112,2181.565045248869
ZCTA5 33136,16854,1177,290500,16676,13598,1177,459,6894,834,6060,33136,0.18457663708323338,1177,16854,324841.132442911,2615.060355127096
ZCTA5 33137,25283,2142,462200,25107,19428,1755,300,11498,3020,8478,33137,0.22619189867367667,2142,25283,660793.1404971308,3608.563486755835
ZCTA5 33138,28609,1390,604300,28046,24496,1242,493,12701,6193,6508,33138,0.12657776510019253,1390,28609,789231.1982692367,2323.567901234568
ZCTA5 33139,35100,1680,476000,34756,25985,2381,720,20113,6338,13775,33139,0.25235930486822417,1680,35100,470151.51584802143,3053.251907814408
ZCTA5 33140,19785,1912,837700,19386,15550,1213,249,8579,4878,3701,33140,0.19787475497781903,1912,19785,672784.0087485499,3947.8502506265663
ZCTA5 33141,35967,1634,419900,35811,28657,2260,477,16685,5675,11010,33141,0.19977102007762979,1634,35967,419621.26100973465,2582.6062753036435
ZCTA5 33142,59121,1189,277600,58483,52219,2328,289,20178,5729,14449,33142,0.10710804849272439,1189,59121,422302.0997649997,2355.8276094276093
ZCTA5 33143,31688,1709,711800,31394,27726,934,295,13337,7356,5981,33143,0.11683761228260177,1709,31688,951075.4286086564,2737.06507936508
ZCTA5 33144,26596,1611,410200,26453,24242,638,182,9296,5195,4101,33144,0.08358220239670358,1611,26596,619470.5807951065,2463.365740740741
ZCTA5 33145,29240,1694,480100,28964,25991,1107,168,11809,5921,5888,33145,0.10264466233945588,1694,29240,725512.2755852557,2869.461251167133
ZCTA5 33146,17962,2571,1119100,17776,11860,1044,1188,5357,3500,1857,33146,0.3328082808280828,2571,17962,1897381.3257511891,3668.254570275404
ZCTA5 33147,47065,1279,234100,46498,42751,1216,195,14613,7389,7224,33147,0.08058411114456536,1279,47065,437440.17210474814,2534.920634920635
ZCTA5 33149,14639,3501,1321200,14526,12031,452,39,4676,3043,1633,33149,0.17176098031116618,3501,14639,1644553.1809762232,8142.963286713286
ZCTA5 33150,31807,1094,317200,31375,27107,2023,197,10910,2995,7915,33150,0.13603187250996016,1094,31807,449306.8813780164,2121.8177609427607
ZCTA5 33154,14557,2080,716600,14445,12344,610,40,5666,3337,2329,33154,0.14544825199030806,2080,14557,1183005.847732993,3810.576441102757
ZCTA5 33155,43702,1889,464900,43308,39041,1455,171,14905,10072,4833,33155,0.09852683107047197,1889,43702,713042.6696808235,2811.151587301588
ZCTA5 33156,32582,1918,972000,32138,28550,1209,111,11862,8607,3255,33156,0.11164353724562823,1918,32582,1529603.1848981883,2945.871336996337
